epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,548.433,1.43217,1.25954,1.35824,0.64102,0.48358,0.49555,0.24944,1.65573,1.47373,1.6084,0.000665966,0.000665966,0.000665966
2,1100.57,1.47634,1.32174,1.40325,0.67759,0.46839,0.50651,0.26477,1.59712,1.35696,1.57166,0.00126667,0.00126667,0.00126667
3,1648.56,1.40109,1.23916,1.36178,0.69627,0.5075,0.56406,0.2983,1.57111,1.22073,1.52194,0.00180137,0.00180137,0.00180137
4,2195.66,1.3334,1.16048,1.31998,0.728,0.53981,0.59712,0.32749,1.47173,1.15038,1.45137,0.001703,0.001703,0.001703
5,2743,1.27983,1.09365,1.28678,0.74023,0.55066,0.61178,0.35174,1.38743,1.09738,1.39047,0.001604,0.001604,0.001604
6,3290.24,1.22494,1.03498,1.25801,0.7375,0.58021,0.63659,0.36586,1.36731,1.03461,1.37698,0.001505,0.001505,0.001505
7,3837.47,1.19062,0.9993,1.23835,0.74553,0.59805,0.66137,0.37931,1.3447,0.99152,1.36904,0.001406,0.001406,0.001406
8,4384.89,1.15365,0.96642,1.21814,0.75316,0.5968,0.66442,0.39039,1.31198,0.9591,1.34227,0.001307,0.001307,0.001307
9,4931.59,1.1217,0.92464,1.20189,0.75731,0.61473,0.68611,0.40901,1.2782,0.93687,1.31527,0.001208,0.001208,0.001208
10,5478.52,1.09284,0.89778,1.18172,0.77403,0.62145,0.70005,0.41933,1.25323,0.88146,1.2971,0.001109,0.001109,0.001109
11,6021.1,1.07733,0.86684,1.1938,0.78629,0.62992,0.70517,0.42999,1.23503,0.87894,1.29068,0.00101,0.00101,0.00101
12,6562.37,1.05556,0.84043,1.17661,0.79643,0.63384,0.7082,0.43568,1.20923,0.85031,1.27314,0.000911,0.000911,0.000911
13,7104.28,1.031,0.80987,1.15607,0.7881,0.62889,0.70903,0.44081,1.19469,0.83065,1.25171,0.000812,0.000812,0.000812
14,7646.15,1.00024,0.77459,1.14287,0.78141,0.65828,0.72627,0.45361,1.17777,0.80829,1.2497,0.000713,0.000713,0.000713
15,8187.22,0.9747,0.74923,1.12899,0.80187,0.66367,0.73736,0.47008,1.14352,0.78267,1.23225,0.000614,0.000614,0.000614
16,8727.84,0.94627,0.71815,1.10948,0.80162,0.66857,0.74171,0.47413,1.12832,0.77514,1.20957,0.000515,0.000515,0.000515
17,9268.78,0.919,0.69047,1.09591,0.80168,0.67045,0.74175,0.47616,1.12599,0.75037,1.21201,0.000416,0.000416,0.000416
18,9809.59,0.8929,0.66529,1.08077,0.8131,0.67167,0.75028,0.48682,1.10835,0.74271,1.20367,0.000317,0.000317,0.000317
19,10350.8,0.86478,0.63532,1.06497,0.82034,0.68546,0.75952,0.49517,1.09341,0.72501,1.18605,0.000218,0.000218,0.000218
20,10892.4,0.84319,0.61199,1.05309,0.80526,0.6954,0.76373,0.50108,1.0847,0.70723,1.18153,0.000119,0.000119,0.000119
