epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.306,1.50003,1.52056,1.30755,0.66957,0.42974,0.46146,0.23612,1.65489,1.4446,1.46145,0.000665966,0.000665966,0.000665966
2,367.446,1.52911,1.40256,1.33905,0.60055,0.43987,0.45604,0.22741,1.68808,1.57251,1.52701,0.00126667,0.00126667,0.00126667
3,544.482,1.49684,1.36011,1.33043,0.63547,0.45582,0.49583,0.24735,1.67308,1.36933,1.50148,0.00180137,0.00180137,0.00180137
4,723.449,1.45881,1.30503,1.30524,0.70649,0.4893,0.55369,0.29199,1.526,1.23689,1.38251,0.001703,0.001703,0.001703
5,901.648,1.41794,1.25074,1.28108,0.71004,0.51417,0.57883,0.31162,1.48346,1.1725,1.34837,0.001604,0.001604,0.001604
6,1080.36,1.37189,1.20034,1.25724,0.70363,0.51088,0.57657,0.31619,1.46709,1.13574,1.33213,0.001505,0.001505,0.001505
7,1260.12,1.34495,1.16998,1.24407,0.73257,0.53837,0.60846,0.33048,1.43965,1.07748,1.32412,0.001406,0.001406,0.001406
8,1439.23,1.32291,1.14399,1.23164,0.73568,0.55272,0.61365,0.33759,1.41313,1.06128,1.29712,0.001307,0.001307,0.001307
1,186.693,1.50003,1.52056,1.30755,0.66957,0.42974,0.46146,0.23612,1.65489,1.4446,1.46145,0.000665966,0.000665966,0.000665966
2,367.783,1.52911,1.40256,1.33905,0.60055,0.43987,0.45604,0.22741,1.68808,1.57251,1.52701,0.00126667,0.00126667,0.00126667
3,548.431,1.49684,1.36011,1.33043,0.63547,0.45582,0.49583,0.24735,1.67308,1.36933,1.50148,0.00180137,0.00180137,0.00180137
4,728.355,1.45881,1.30503,1.30524,0.70649,0.4893,0.55369,0.29199,1.526,1.23689,1.38251,0.001703,0.001703,0.001703
5,908.876,1.41794,1.25074,1.28108,0.71004,0.51417,0.57883,0.31162,1.48346,1.1725,1.34837,0.001604,0.001604,0.001604
6,1088.69,1.37189,1.20034,1.25724,0.70363,0.51088,0.57657,0.31619,1.46709,1.13574,1.33213,0.001505,0.001505,0.001505
7,1270.14,1.34495,1.16998,1.24407,0.73257,0.53837,0.60846,0.33048,1.43965,1.07748,1.32412,0.001406,0.001406,0.001406
8,1449.49,1.32291,1.14399,1.23164,0.73568,0.55272,0.61365,0.33759,1.41313,1.06128,1.29712,0.001307,0.001307,0.001307
9,1629.12,1.29249,1.10765,1.21841,0.72357,0.54658,0.61881,0.34906,1.37833,1.04668,1.26907,0.001208,0.001208,0.001208
10,1809.72,1.27265,1.09006,1.2051,0.7277,0.54981,0.62669,0.3529,1.36617,1.01048,1.26499,0.001109,0.001109,0.001109
11,1983.92,1.25568,1.04752,1.20874,0.73993,0.55582,0.62351,0.35441,1.38149,1.01386,1.28802,0.00101,0.00101,0.00101
12,2157.71,1.23991,1.02726,1.1993,0.739,0.56154,0.63758,0.36164,1.35335,0.97718,1.25316,0.000911,0.000911,0.000911
13,2330.11,1.22208,0.99764,1.18636,0.74966,0.57017,0.64609,0.3701,1.33802,0.94971,1.25626,0.000812,0.000812,0.000812
14,2503.71,1.19294,0.97445,1.1742,0.75622,0.57617,0.6586,0.37938,1.30708,0.94194,1.22804,0.000713,0.000713,0.000713
15,2677.41,1.17546,0.95041,1.16378,0.7712,0.58011,0.66612,0.38688,1.28987,0.90858,1.22083,0.000614,0.000614,0.000614
16,2851.09,1.15454,0.92951,1.15057,0.76587,0.58826,0.66634,0.38797,1.28069,0.89772,1.20967,0.000515,0.000515,0.000515
17,3022.79,1.13463,0.9092,1.14147,0.75959,0.59315,0.67168,0.39672,1.26931,0.88969,1.20544,0.000416,0.000416,0.000416
18,3195.48,1.11584,0.88516,1.13096,0.77375,0.59803,0.67743,0.39849,1.26653,0.87206,1.20192,0.000317,0.000317,0.000317
19,3368.17,1.09427,0.86398,1.11986,0.75914,0.60375,0.67803,0.40166,1.24805,0.8758,1.18704,0.000218,0.000218,0.000218
20,3541.67,1.08045,0.8465,1.10964,0.75958,0.61632,0.68759,0.4064,1.23883,0.85543,1.18471,0.000119,0.000119,0.000119
