epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,285.876,1.43447,1.27615,1.29525,0.64746,0.47786,0.50625,0.24692,1.71545,1.39294,1.53614,0.000665966,0.000665966,0.000665966
2,564.657,1.48157,1.31022,1.3313,0.6575,0.47636,0.50947,0.26114,1.63249,1.34721,1.48772,0.00126667,0.00126667,0.00126667
3,840.986,1.43533,1.2617,1.30694,0.68876,0.51525,0.56279,0.29072,1.56206,1.21896,1.43171,0.00180137,0.00180137,0.00180137
4,1116.85,1.384,1.20147,1.27679,0.70792,0.54592,0.5904,0.31443,1.49344,1.15578,1.37703,0.001703,0.001703,0.001703
5,1391.81,1.3317,1.13671,1.24718,0.74311,0.54278,0.61599,0.34249,1.43521,1.07786,1.34422,0.001604,0.001604,0.001604
6,1667.68,1.2822,1.08548,1.22247,0.72488,0.57167,0.63157,0.35399,1.39586,1.03499,1.3115,0.001505,0.001505,0.001505
7,1943.12,1.24968,1.0508,1.20616,0.75622,0.56585,0.64156,0.36067,1.37718,1.01519,1.3047,0.001406,0.001406,0.001406
8,2219.82,1.22305,1.02351,1.19166,0.75411,0.58724,0.65296,0.37499,1.34435,1.0032,1.28218,0.001307,0.001307,0.001307
9,2496.31,1.19118,0.98666,1.17743,0.76739,0.60572,0.67339,0.38901,1.31105,0.9397,1.25278,0.001208,0.001208,0.001208
10,2773.08,1.16374,0.96041,1.1596,0.76165,0.61423,0.685,0.39973,1.30096,0.92709,1.24173,0.001109,0.001109,0.001109
11,3046.14,1.14322,0.92098,1.15972,0.76184,0.62242,0.69127,0.40523,1.28852,0.90711,1.24246,0.00101,0.00101,0.00101
12,3317.66,1.12702,0.89778,1.14828,0.7724,0.61623,0.68511,0.40472,1.27023,0.89265,1.21865,0.000911,0.000911,0.000911
13,3588.64,1.10358,0.87058,1.1332,0.77561,0.61426,0.69467,0.41794,1.23511,0.87404,1.21587,0.000812,0.000812,0.000812
14,3860.45,1.07689,0.83854,1.12151,0.78198,0.63355,0.70956,0.42816,1.22919,0.8424,1.19759,0.000713,0.000713,0.000713
15,4131.04,1.05274,0.81392,1.10712,0.78566,0.64259,0.71882,0.43954,1.20421,0.8209,1.19054,0.000614,0.000614,0.000614
16,4402.29,1.02777,0.78931,1.0955,0.77958,0.65788,0.72101,0.43959,1.1989,0.81831,1.18355,0.000515,0.000515,0.000515
17,4673.05,1.00391,0.76409,1.08413,0.7922,0.64972,0.72732,0.4494,1.18491,0.79856,1.17608,0.000416,0.000416,0.000416
18,4943.79,0.97718,0.73747,1.06887,0.78819,0.66538,0.73493,0.45636,1.17207,0.78289,1.16675,0.000317,0.000317,0.000317
19,5214.39,0.95613,0.71227,1.05822,0.78778,0.67033,0.73508,0.46201,1.1627,0.76798,1.15723,0.000218,0.000218,0.000218
20,5485.22,0.93613,0.69091,1.0454,0.79785,0.66379,0.73739,0.46538,1.15368,0.75789,1.15359,0.000119,0.000119,0.000119
